#Name    TICID
Kepler-726b 63000832
Kepler-727b 271351820
Kepler-728b 159580427
Kepler-729b 158269049
Kepler-731b 272366748
Kepler-733b 240179452
Kepler-734b 272845785
Kepler-735b 164780824
Kepler-736b 351909600
Kepler-737b 63068329
Kepler-738b 158490928
Kepler-739b 159225155
Kepler-740b 158270511
Kepler-741b 159050690
Kepler-742b 164558468
Kepler-744b 272597130
Kepler-745b 137307173
Kepler-746b 122515955
Kepler-747b 121602473
Kepler-748b 137545963
Kepler-749b 269263934
Kepler-75b 122785299
Kepler-751b 271259677
Kepler-752b 137548225
Kepler-753b 351056774
Kepler-754b 138036531
Kepler-756b 122597885
Kepler-757b 360022783
Kepler-759b 122298563
Kepler-761b 159442087
Kepler-762b 159725995
Kepler-763b 63130782
Kepler-764b 273129679
Kepler-765b 164456891
Kepler-766b 138036952
Kepler-767b 137220387
Kepler-77b 159098316
Kepler-771b 121276933
Kepler-772b 137150277
Kepler-773b 122682991
Kepler-774b 122780849
Kepler-775b 137211068
Kepler-776b 121114760
Kepler-777b 123497954
Kepler-778b 158484518
Kepler-780b 123362050
Kepler-781b 158489897
Kepler-782b 158839841
Kepler-784b 272078218
Kepler-785b 137402055
Kepler-786b 138366498
Kepler-787b 137318289
Kepler-788b 122224871
Kepler-789b 184300256
Kepler-790b 121020728
Kepler-791b 138303317
Kepler-792b 137401986
Kepler-793b 139036121
Kepler-794b 121467823
Kepler-796b 121214909
Kepler-797b 169176157
Kepler-799b 158419284
Kepler-8b 123233041
Kepler-800b 158275161
Kepler-801b 158171839
Kepler-802b 158114000
Kepler-803b 268608781
